iter	Passed	Remaining
725	1427	538
726	1429	536
727	1430	534
728	1432	532
729	1433	530
730	1435	528
731	1436	526
732	1438	523
733	1440	521
734	1442	519
735	1444	518
736	1445	516
737	1447	513
738	1449	511
739	1450	509
740	1452	507
741	1453	505
742	1455	503
743	1457	501
744	1459	499
745	1461	497
746	1462	495
747	1464	493
748	1465	491
749	1467	489
750	1468	487
751	1470	484
752	1472	482
753	1474	480
754	1475	478
755	1477	476
756	1478	474
757	1480	472
758	1482	470
759	1484	468
760	1485	466
761	1487	464
762	1489	462
763	1491	460
764	1492	458
765	1494	456
766	1495	454
767	1497	452
768	1498	450
769	1500	448
770	1502	446
771	1504	444
772	1506	442
773	1507	440
774	1509	438
775	1510	436
776	1512	434
777	1514	432
778	1515	430
779	1517	428
780	1519	426
781	1521	424
782	1523	422
783	1524	420
784	1526	418
785	1528	416
786	1530	414
787	1531	412
788	1533	410
789	1535	408
790	1537	406
791	1538	404
792	1540	402
793	1542	400
794	1543	398
795	1545	396
796	1547	394
797	1549	392
798	1550	390
799	1552	388
800	1553	386
801	1555	384
802	1557	382
803	1558	380
804	1560	378
805	1562	376
806	1563	374
807	1565	371
808	1566	369
809	1568	367
810	1570	365
811	1571	363
812	1573	361
813	1575	359
814	1576	357
815	1578	355
816	1580	353
817	1581	351
818	1583	349
819	1584	347
820	1586	345
821	1587	343
822	1589	341
823	1591	339
824	1593	337
825	1594	335
826	1596	333
827	1598	332
828	1599	330
829	1601	328
830	1603	326
831	1605	324
832	1607	322
833	1609	320
834	1610	318
835	1612	316
836	1614	314
837	1616	312
838	1617	310
839	1619	308
840	1621	306
841	1623	304
842	1625	302
843	1627	300
844	1628	298
845	1630	296
846	1631	294
847	1633	292
848	1635	290
849	1637	289
850	1639	287
851	1641	285
852	1642	283
853	1644	281
854	1646	279
855	1648	277
856	1649	275
857	1651	273
858	1653	271
859	1655	269
860	1657	267
861	1658	265
862	1660	263
863	1661	261
864	1663	259
865	1665	257
866	1667	255
867	1669	253
868	1671	251
869	1672	249
870	1674	248
871	1676	246
872	1677	244
873	1680	242
874	1682	240
875	1684	238
876	1686	236
877	1688	234
878	1690	232
879	1692	230
880	1694	228
881	1696	226
882	1698	225
883	1699	223
884	1701	221
885	1703	219
886	1704	217
887	1706	215
888	1707	213
889	1709	211
890	1711	209
891	1713	207
892	1715	205
893	1716	203
894	1718	201
895	1719	199
896	1721	197
897	1723	195
898	1725	193
899	1726	191
900	1728	189
901	1729	187
902	1731	185
903	1732	184
904	1734	182
905	1735	180
906	1737	178
907	1739	176
908	1741	174
909	1742	172
910	1744	170
911	1745	168
912	1747	166
913	1748	164
914	1750	162
915	1752	160
916	1754	158
917	1755	156
918	1757	154
919	1758	152
920	1760	151
921	1761	149
922	1763	147
923	1765	145
924	1766	143
925	1768	141
926	1770	139
927	1772	137
928	1774	135
929	1775	133
930	1777	131
931	1778	129
932	1780	127
933	1781	125
934	1784	124
935	1785	122
936	1787	120
937	1789	118
938	1790	116
939	1792	114
940	1793	112
941	1794	110
942	1796	108
943	1798	106
944	1800	104
945	1801	102
946	1803	100
947	1804	98
948	1806	97
949	1807	95
950	1809	93
951	1810	91
952	1813	89
953	1815	87
954	1816	85
955	1818	83
956	1820	81
957	1821	79
958	1823	77
959	1825	76
960	1826	74
961	1828	72
962	1830	70
963	1832	68
964	1833	66
965	1835	64
966	1836	62
967	1838	60
968	1840	58
969	1841	56
970	1843	55
971	1845	53
972	1846	51
973	1848	49
974	1849	47
975	1851	45
976	1852	43
977	1854	41
978	1856	39
979	1858	37
980	1860	36
981	1861	34
982	1863	32
983	1864	30
984	1866	28
985	1868	26
986	1870	24
987	1871	22
988	1873	20
989	1875	18
990	1877	17
991	1878	15
992	1880	13
993	1881	11
994	1883	9
995	1885	7
996	1887	5
997	1888	3
998	1890	1
999	1891	0
